wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q111754613,Jovana Marović,Jovana Marović,,,Q111826217,,2022-04-28,Q111754613-1B34307E-E70C-405D-8B8E-0214FF19B880
Q111754613,Jovana Marović,Jovana Marović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q17073595,potpredsjednica Vlade,2022-04-28,Q111754613-B858883B-C402-474B-BF85-2C653B4BA08C
Q111781550,Ana Novaković Đurović,Ana Novaković Đurović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q107740259,ministarka ekologije...,2022-04-28,Q111781550-f4c6628d-48b1-ed2f-8e5a-9519bbebe70b
Q111795393,Biljana Šćepanović,Biljana Šćepanović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795394,ministarka nauke i tehnološkog razvoj,2022-04-28,Q111795393-1E48EC60-C225-4D23-8FCF-D8B47722B027
Q111795401,Fatmir Đeka,Fatmir Đeka,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795402,ministar Ijudskih i manjinskih prava,2022-04-28,Q111795401-64A0E7C1-796E-41FA-93E6-EAED137F4A33
Q111795411,Admir Adrović,Admir Adrović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795412,ministar rada i socijalnog staranja,2022-04-28,Q111795411-C09132C8-C14D-4093-A44A-53993B150213
Q111795538,Miomir Mijo Vojinović,Miomir Mijo Vojinović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795539,minlstar prosvjete,2022-04-28,Q111795538-3008B693-9B4E-41B0-B34B-39A42BA70BBC
Q111795543,Maša Vlaović,Maša Vlaović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795544,ministarka kulture i medija,2022-04-28,Q111795543-86835914-7D61-4933-B764-4A04C7B3DA51
Q111795545,Dragoslav Šćekić,Dragoslav Šćekić,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q107740255,ministar zdravlja,2022-04-28,Q111795545-232AE54E-0BC1-4865-998A-CE4A73706FAB
Q111795549,Filip Adžić,Filip Adžić,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q107740231,ministar unutrašnjih poslova,2022-04-28,Q111795549-8876AEB0-4EF9-4FEE-8C62-33653701E199
Q111795550,Vasilije Lalošević,Vasilije Lalošević,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795551,ministar sporta i mladih,2022-04-28,Q111795550-9C4637CE-9CE5-4767-9065-FEDA5B99DBAA
Q111795565,Marko Kovač,Marko Kovač,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q106351852,ministar pravde,2022-04-28,Q111795565-4EAAF53D-EF02-442E-9CCA-A5452D8EE131
Q111795569,Maraš Dukaj,Maraš Dukaj,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q107740261,ministar javne uprave,2022-04-28,Q111795569-DDEA887B-34C1-4C84-BA48-CA74BDE1D48D
Q111795570,Aleksandar Damjanović,Aleksandar Damjanović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795571,ministar finansija,2022-04-28,Q111795570-E4C66F6B-004A-4993-847F-866A0EEFEDAC
Q111795573,Goran Đurović,Goran Đurović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795574,ministar ekonomskog razvoja i turizma,2022-04-28,Q111795573-2D31998C-7130-4EC0-A652-6FDAD83FB56E
Q111795576,Adrijan Vuksanović,Adrijan Vuksanović,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795577,ministar bez portfelja,2022-04-28,Q111795576-8BD19AD0-F6B1-45AD-B424-536CEBD67E2E
Q111795585,Zoran Miljanić,Zoran Miljanić,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q111795577,ministar bez portfelja,2022-04-28,Q111795585-F877B7E2-E8E5-466B-826A-50F9491E76F4
Q16353146,Dritan Abazović,Dritan Abazovic,https://www.gov.me/vlada-crne-gore/sastav-vlade,2022-05-01,Q2353252,predsjednik Vlade,2022-04-28,Q16353146-38C5CC59-434C-427A-8E84-4A8F0434A500
